Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	845	397182	397702	520	Bianca	1	0,53198	0,42851	3,66029
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	846	397762	399181	1419	Bianca	1	0,53689	0,44357	3,56493
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	847	399201	399281	80	Nametag_Bianca	1	0,55085	0,51216	3,69996
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	848	399421	399980	560	Bianca	1	0,5448	0,42965	3,79396
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	849	400020	400240	220	Nametag_Bianca	1	0,5511	0,58748	3,63297
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	850	400400	400860	460	Bianca	1	0,55065	0,42593	3,71889
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	851	400880	401060	180	Material_Students	1	0,51393	0,49596	3,64802
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	852	401180	401619	440	Bianca	1	0,55841	0,42221	3,62314
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	853	401639	403078	1439	Bianca	1	0,56856	0,42193	3,63673
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	854	403118	403318	200	Nametag_Bianca	1	0,55573	0,58519	3,73986
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	855	403458	404797	1339	Bianca	1	0,51589	0,37042	3,80743
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	856	404897	405897	999	Bianca	1	0,56431	0,29534	3,56832
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	857	406197	406277	80	Board_Screen	1	0,31788	0,42023	3,59705
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	858	406317	406556	240	Board_Screen	1	0,41183	0,41068	3,58016
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	859	406576	407096	520	Board_Screen	1	0,44227	0,40443	3,40836
