Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	982	625238	625758	520	Material_Students	1	0,63417	0,57289	4,40692										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1694	625758	625778	20							122,02	122,02		Material_Students		0,63417	0,57289		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1695	625818	625858	40							387,63	398,26							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1696	625938	625998	60							345,31	382,3							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1697	626018	626058	40							230,57	360,66			Material_Students			0,4869	0,46311
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	983	626058	627677	1619	Material_Students	1	0,4869	0,46311	4,39001										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1698	627677	627717	40						277,59	224,09	310,84	8,73	Material_Students	Nametag_Anna	0,4869	0,46311	0,51089	0,64321
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	984	627717	627837	120	Nametag_Anna	1	0,51089	0,64321	4,54208										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1699	627837	627857	20						336,14	101,56	101,56	4,92	Nametag_Anna	Material_Students	0,51089	0,64321	0,56996	0,66934
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	985	627857	628417	560	Material_Students	1	0,56996	0,66934	4,50889										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1700	628517	628537	20							254,25	254,25							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1701	628557	628597	40							180,76	208,4			Material_Students			0,49534	0,36939
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	986	628597	629716	1119	Material_Students	1	0,49534	0,36939	4,40648										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1702	629716	629736	20							1136,04	1136,04		Material_Students		0,49534	0,36939		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1703	629756	629796	40							200,42	200,42							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1704	629816	629836	20							176,24	176,24			Material_Students			0,46065	0,46114
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	987	629836	630475	640	Material_Students	1	0,46065	0,46114	4,25924										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1705	630475	630515	40							265,36	377,91		Material_Students		0,46065	0,46114		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1706	630555	630635	80							139,28	196,57			Material_Students			0,51995	0,44294
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	988	630635	631515	879	Material_Students	1	0,51995	0,44294	4,34355										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1707	631515	631555	40						90,68	198,62	242,82	8,8	Material_Students	Anna,Disruptive_Person	0,51995	0,44294	0,51792	0,27326
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	989	631555	631815	260	Anna,Disruptive_Person	1	0,51792	0,27326	4,42316										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1708	631815	631895	80						268,73	253,37	367,81	22,76	Anna,Disruptive_Person	Material_Students	0,51792	0,27326	0,50765	0,7351
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	990	631895	632134	240	Material_Students	1	0,50765	0,7351	4,24189										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1709	632134	632154	20						96,24	117,83	117,83	9,51	Material_Students	Material_Students	0,50765	0,7351	0,48653	0,54198
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	991	632154	633074	919	Material_Students	1	0,48653	0,54198	4,18076										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1710	633074	633114	40						7,65	133,71	136,29	2,16	Material_Students	Material_Students	0,48653	0,54198	0,50795	0,5391
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	992	633114	633614	500	Material_Students	1	0,50795	0,5391	4,04128										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1711	633614	633633	20						92,7	153,89	153,89	4,82	Material_Students	Material_Students	0,50795	0,5391	0,50257	0,42488
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	993	633633	634153	520	Material_Students	1	0,50257	0,42488	4,16308										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1712	634153	634173	20						137,83	117,52	117,52	3,01	Material_Students	Material_Students	0,50257	0,42488	0,47525	0,40014
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	994	634173	634493	320	Material_Students	1	0,47525	0,40014	4,08418										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1713	634493	634533	40							163,79	172,41		Material_Students		0,47525	0,40014		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1714	634613	634633	20							267,26	267,26							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1715	634653	634673	20							167,96	167,96			Material_Students			0,47875	0,42562
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	995	634673	637351	2678	Material_Students	0,99253	0,47875	0,42562	3,74278										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1716	637351	637691	340						175,08	247,55	285,1	10,35		Anna	0,47875	0,42562	0,35461	0,41492
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	996	637691	637811	120	Anna	0,83339	0,35461	0,41492	3,63501										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1717	637811	637851	40						80,66	240,67	252,35	3,15		Anna	0,35461	0,41492	0,36745	0,33683
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	997	637851	638131	280	Anna	1	0,36745	0,33683	3,32638										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1718	638651	638690	40							314,44	314,44							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1719	638750	638770	20							219,99	219,99							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1720	639150	639190	40							183,23	183,23			Bianca			0,53615	0,13601
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	998	639190	639350	160	Bianca	0,87501	0,53615	0,13601	3,27998										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1721	639350	639370	20							116,56	116,56				0,53615	0,13601		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1722	639390	639410	20							176,28	176,28							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1723	639430	639470	40							163,45	190,59			Nametag_Bianca			0,5048	0,42891
